Country,Capital City,Latitude,Longitude,Population,Capital Type,Raininess
French Guiana,Cayenne,4.9333,-52.3333,57506,Capital,72.57307719333454
Palau,Koror,7.3426,134.4789,11410,Capital,72.16862804714336
Federated States of Micronesia,Palikir,6.9174,158.1588,6996,Capital,71.75897522259653
Marshall Islands,Majuro,7.0897,171.3803,30661,Capital,71.67812065814967
French Polynesia,Papeete,-17.5333,-149.5667,136005,Capital,70.66219741098396
Brunei,Bandar Seri Begawan,4.9403,114.9481,40781,Capital,70.37459572053052
Liberia,Monrovia,6.3005,-10.7969,1418300,Capital,70.34175020138868
Sao Tome and Principe,São Tomé,0.3365,6.7273,80099,Capital,70.17085671565815
Samoa,Apia,-13.8333,-171.7667,36066,Capital,70.1179488567548
Tuvalu,Funafuti,-8.5189,179.1991,7042,Capital,69.85675225620557
Gabon,Libreville,0.3925,9.4537,813489,Capital,69.78433084609465
Wallis and Futuna Islands,Matu-Utu,-13.2816,-176.1745,1025,Capital,69.6418284807084
Sri Lanka,Colombo,6.9319,79.8478,599821,Capital,69.51479579801655
Costa Rica,San José,9.9278,-84.0807,1357745,Capital,69.34481190704231
Guam,Hagåtña,13.4757,144.7489,146905,Capital,69.29041507000532
Guyana,Georgetown,6.8045,-58.1553,109934,Capital,69.23166341857494
Nepal,Kathmandu,27.7017,85.3206,1329732,Capital,69.09747777602624
Malaysia,Kuala Lumpur,3.1412,101.6865,7563912,Capital,68.97535328708284
Singapore,Singapore,1.2897,103.8501,5791901,Capital,68.95889233604696
Solomon Islands,Honiara,-9.4333,159.95,81801,Capital,68.91772832968785
Tokelau,Tokelau,-9.38,-171.25,0,Others,68.7869500468332
Sierra Leone,Freetown,8.484,-13.2299,1135949,Capital,68.7667106139517
Panama,Ciudad de Panamá (Panama City),8.9958,-79.5196,1783490,Capital,68.53361317739594
Fiji,Suva,-18.1416,178.4415,178339,Capital,68.46923139859939
Guinea,Conakry,9.5716,-13.6476,1843121,Capital,68.41324503151483
Indonesia,Jakarta,-6.2118,106.8416,10516927,Capital,68.36947125545177
Ecuador,Quito,-0.2299,-78.525,1822397,Capital,68.27069057189904
Vanuatu,Port Vila,-17.7338,168.3219,52690,Capital,67.95807921447819
Seychelles,Victoria,-4.6167,55.45,28091,Capital,67.91644241326641
Suriname,Paramaribo,5.8664,-55.1668,239457,Capital,67.85283644436002
Burundi,Bujumbura,-3.3822,29.3644,898968,Capital,67.80715578643104
Comoros,Moroni,-11.7022,43.2551,62351,Capital,67.80309716948518
Philippines,Manila,14.6042,120.9822,13482468,Capital,67.33834613477293
Réunion,Saint-Denis,-20.8823,55.4504,147209,Capital,67.29565299417342
Myanmar,Nay Pyi Taw,19.745,96.1297,500218,Capital,67.29437181143113
Niue,Alofi,-19.0585,-169.9213,727,Capital,67.28241381525136
Equatorial Guinea,Malabo,3.75,8.7833,296770,Capital,67.15928333160551
"China, Hong Kong SAR",Hong Kong,22.2796,114.1887,7428887,Capital,66.88950941035561
Vietnam,Hà Noi,21.0245,105.8412,4282738,Capital,66.81300693765562
Côte d'Ivoire,Abidjan,5.3453,-4.0268,4920776,Administrative Capital,66.79473233583225
Guadeloupe,Basse-Terre,15.9985,-61.7255,58397,Capital,66.78669469227691
Northern Mariana Islands,Saipan,15.2123,145.7545,50568,Capital,66.72446141773128
Maldives,Male,4.1748,73.5089,176851,Capital,66.71908621090836
Cook Islands,Rarotonga,-21.23,-159.76,13067,Capital,66.62561358569036
"China, Macao SAR",Macao,22.2006,113.5461,632418,Capital,66.58950059673937
Belize,Belmopan,17.25,-88.7667,22964,Capital,66.46743009119545
Bhutan,Thimphu,27.4661,89.6419,203297,Capital,66.23800604581672
Laos,Vientiane,17.9667,102.6,664754,Capital,66.18111761503994
Kiribati,Tarawa,1.3272,172.9813,64011,Capital,66.07356871749299
Tonga,Nuku'alofa,-21.1394,-175.2032,22904,Capital,66.03850359296149
Cambodia,Phnum Pénh (Phnom Penh),11.5625,104.916,1952329,Capital,65.95787956440813
Colombia,Bogotá,4.6097,-74.0818,10574409,Capital,65.88328126296298
New Caledonia,Nouméa,-22.2763,166.4572,197787,Capital,65.87384836652215
Papua New Guinea,Port Moresby,-9.4431,147.1797,366862,Capital,65.83324774604495
Cameroon,Yaoundé,3.8667,11.5167,3655656,Capital,65.8207242462112
"China, Taiwan Province of China",Taibei,25.047,121.5457,2705791,Others,65.60013612947714
Montenegro,Podgorica,42.4411,19.2636,177177,Capital,65.5916234097162
El Salvador,San Salvador,13.6894,-89.1872,1106698,Capital,65.55001002469466
Guatemala,Ciudad de Guatemala (Guatemala City),14.6127,-90.5307,2851104,Capital,65.52377174601341
Bangladesh,Dhaka,23.7104,90.4074,19578421,Capital,65.51615213677258
Honduras,Tegucigalpa,14.0818,-87.2068,1363041,Capital,65.41515246467289
Dominica,Roseau,15.3017,-61.3881,14942,Capital,65.31191745938168
Nicaragua,Managua,12.1328,-86.2504,1047923,Capital,65.15368048538403
Jamaica,Kingston,17.997,-76.7936,589083,Capital,65.11981109726821
Uganda,Kampala,0.3163,32.5822,2986352,Capital,65.0225069611747
Iceland,Reykjavík,64.1355,-21.8954,216364,Capital,64.94107121607666
Japan,Tokyo,35.6895,139.6917,37468302,Capital,64.87789659024801
Congo-Brazzaville,Brazzaville,-4.2658,15.2832,2229693,Capital,64.87408935693728
Thailand,Krung Thep (Bangkok),13.722,100.5252,10156316,Capital,64.86480920993264
Timor-Leste,Dili,-8.5601,125.5668,281135,Capital,64.83054427266774
Liechtenstein,Vaduz,47.1415,9.5215,5470,Capital,64.68999512108374
Democratic Republic of the Congo,Kinshasa,-4.3276,15.3136,13171256,Capital,64.567719688915
Bermuda,Hamilton,32.2915,-64.778,10073,Capital,64.54674673116341
Dominican Republic,Santo Domingo,18.4896,-69.9018,3172152,Capital,64.45526339553388
Isle of Man,Douglas,54.15,-4.4833,27171,Capital,64.4522714641592
Faroe Islands,Tórshavn,62.0097,-6.7716,20817,Capital,64.4215204789929
Eswatini,Mbabane,-26.3167,31.1333,68010,Capital,64.26839964778682
Grenada,St.George's,12.0564,-61.7485,39297,Capital,64.20909921650434
Saint Lucia,Castries,14.006,-60.991,22258,Capital,64.16494439840345
Mayotte,Mamoudzou,-12.7794,45.2272,6180,Capital,64.1138000896121
Saint Pierre and Miquelon,Saint-Pierre,46.7738,-56.1815,5723,Capital,63.99554786356713
Saint Vincent and the Grenadines,Kingstown,13.1587,-61.2248,26636,Capital,63.91401867466303
Ethiopia,Addis Ababa,9.025,38.7469,4399674,Capital,63.85698307858085
Martinique,Fort-de-France,14.6089,-61.0733,79361,Capital,63.84996381951218
United States,"Washington, D.C.",38.8951,-77.0364,5206593,Capital,63.72411664159536
Kenya,Nairobi,-1.2833,36.8167,4385853,Capital,63.70533325201562
Puerto Rico,San Juan,18.4663,-66.1057,2454337,Capital,63.67656366853655
Cayman Islands,George Town,19.2866,-81.3744,34875,Capital,63.66851935231946
Venezuela,Caracas,10.488,-66.8792,2934560,Capital,63.61211665224596
South Korea,Seoul,37.5683,126.9778,9963497,Capital,63.547627151311126
Saint Kitts and Nevis,Basseterre,17.2948,-62.7261,14434,Capital,63.494445575425054
Switzerland,Bern,46.9481,7.4474,422153,Capital,63.46149734461987
North Korea,P'yongyang,39.0339,125.7543,3037862,Capital,63.41102285431165
Paraguay,Asunción,-25.3007,-57.6359,3222199,Capital,63.383587110258155
Nauru,Nauru,-0.5308,166.9112,11312,Capital,63.37984027968161
Madagascar,Antananarivo,-18.9137,47.5361,3058387,Capital,63.29975654538032
Antigua and Barbuda,St. John's,17.1172,-61.8457,20764,Capital,63.22604041387343
Guinea-Bissau,Bissau,11.8636,-15.5977,558399,Capital,63.160091154645635
Channel Islands,St. Peter Port,49.4598,-2.5353,16271,Capital,63.06082932276059
Benin,Cotonou,6.3654,2.4183,685458,Economic Capital,62.97220623304611
Slovenia,Ljubljana,46.0511,14.5051,286491,Capital,62.963920179998745
Brazil,Brasília,-15.7797,-47.9297,4469585,Capital,62.95498158406767
Albania,Tiranë (Tirana),41.3275,19.8189,475577,Capital,62.93683667581984
Channel Islands,St. Helier,49.188,-2.1049,34386,Capital,62.92692551691126
Montserrat,Brades Estate,16.7918,-62.2106,472,Capital,62.915942837648046
Trinidad and Tobago,Port of Spain,10.6662,-61.5166,544417,Capital,62.86971492691358
Mauritius,Port Louis,-20.1619,57.4989,149365,Capital,62.77546182066257
Central African Republic,Bangui,4.3612,18.555,850946,Capital,62.69627881581079
New Zealand,Wellington,-41.2866,174.7756,411346,Capital,62.57418656999688
Ireland,Dublin,53.3331,-6.2489,1201426,Capital,62.52248128250677
British Virgin Islands,Road Town,18.4167,-64.6167,15137,Capital,62.50924810937452
Netherlands,Amsterdam,52.374,4.8897,1131690,Capital,62.502591287091576
Norway,Oslo,59.9127,10.7461,1012225,Capital,62.46208269519891
Bosnia and Herzegovina,Sarajevo,43.8486,18.3564,342577,Capital,62.45600866398985
United States Virgin Islands,Charlotte Amalie,18.3419,-64.9307,52322,Capital,62.448800860413265
Togo,Lomé,6.1375,1.2123,1745744,Capital,62.29241756953844
Luxembourg,Luxembourg,49.6117,6.13,119752,Capital,62.1197157366466
Ghana,Accra,5.556,-0.1969,2439389,Capital,62.07355829275673
Vatican City,Vatican City,41.9024,12.4533,801,Capital,62.06179068604492
Haiti,Port-au-Prince,18.5392,-72.335,2636763,Capital,61.97566219192907
Mexico,Ciudad de México (Mexico City),19.4273,-99.1419,21580827,Capital,61.967354514399815
Rwanda,Kigali,-1.9474,30.0579,1057836,Capital,61.845191854389796
Sint Maarten (Dutch part),Philipsburg,18.026,-63.0458,40552,Capital,61.79490398266247
Anguilla,The Valley,18.217,-63.0578,1402,Capital,61.745023590138715
San Marino,San Marino,43.9333,12.45,4465,Capital,61.73582286001785
The Bahamas,Nassau,25.0582,-77.3431,279668,Capital,61.72251986963466
Barbados,Bridgetown,13.1,-59.6167,89201,Capital,61.72210375561666
Belgium,Bruxelles-Brussel,50.8467,4.3499,2049510,Capital,61.6214653847226
Lebanon,Bayrut (Beirut),33.9,35.4833,2385271,Capital,61.475759491415346
Caribbean Netherlands,Kralendijk,12.15,-68.2667,11313,Capital,61.45736454124097
Canada,Ottawa-Gatineau,45.4166,-75.698,1363159,Capital,61.38214891092331
Bolivia,La Paz,-16.5,-68.15,1814087,Seat of Government,61.34095539609906
Pakistan,Islamabad,33.7035,73.0594,1061412,Capital,61.32257953019508
Cuba,La Habana (Havana),23.1195,-82.3785,2136468,Capital,61.32103998296563
Turks and Caicos Islands,Cockburn Town,21.4612,-71.1419,5447,Capital,61.24171351544823
Uruguay,Montevideo,-34.8335,-56.1674,1736989,Capital,61.210288028047735
Italy,Roma (Rome),41.8947,12.4811,4209710,Capital,61.11819874388622
Mozambique,Maputo,-25.9653,32.5892,1101771,Capital,61.03430871418561
Gibraltar,Gibraltar,36.1447,-5.3526,34733,Capital,61.012762023508714
Malawi,Lilongwe,-13.9669,33.7873,1029639,Capital,61.00326718183734
France,Paris,48.8534,2.3488,10900952,Capital,60.94139875982072
Greenland,Nuuk (Godthåb),64.1835,-51.7216,18406,Capital,60.89534673199896
United Kingdom,London,51.5085,-0.1257,9046485,Capital,60.89511339820973
Croatia,Zagreb,45.8144,15.978,685587,Capital,60.893791030818754
Somalia,Muqdisho (Mogadishu),2.0416,45.3435,2081624,Capital,60.78649780311756
Andorra,Andorra la Vella,42.5078,1.5211,22614,Capital,60.74611579216303
Australia,Canberra,-35.2835,149.1281,447692,Capital,60.700873614373506
Lithuania,Vilnius,54.6892,25.2798,536055,Capital,60.62965005033333
Nigeria,Abuja,9.0574,7.4898,2918518,Capital,60.6111472167244
Finland,Helsinki,60.1692,24.9402,1279096,Capital,60.60167545356787
Lesotho,Maseru,-29.3167,27.4833,201851,Capital,60.51971714945779
Estonia,Tallinn,59.437,24.7535,437027,Capital,60.50815518512269
Latvia,Riga,56.946,24.1059,637089,Capital,60.50552861105157
Zambia,Lusaka,-15.4134,28.2771,2523844,Capital,60.46048207495396
Curaçao,Willemstad,12.1084,-68.9335,144037,Capital,60.3839110047288
Argentina,Buenos Aires,-34.6051,-58.4004,14966530,Capital,60.35957404898116
Belarus,Minsk,53.9,27.5667,2004672,Capital,60.3098932871101
Zimbabwe,Harare,-17.8294,31.0539,1515016,Capital,60.1922803661499
Poland,Warszawa (Warsaw),52.2298,21.0118,1767798,Capital,60.12136981270001
Denmark,København (Copenhagen),55.6759,12.5655,1320826,Capital,60.01750171934568
Falkland Islands,Stanley,-51.7012,-57.8494,2269,Others,59.94466580537303
Czech Republic,Praha (Prague),50.088,14.4208,1291552,Capital,59.93134353363586
Austria,Wien (Vienna),48.2064,16.3707,1900547,Capital,59.555555309633576
Monaco,Monaco,43.7333,7.4167,38897,Capital,59.50207004180875
Tanzania,Dodoma,-6.1722,35.7395,261645,Capital,59.39293707895668
Sweden,Stockholm,59.3326,18.0649,1582968,Capital,59.38709174653266
Serbia,Beograd (Belgrade),44.8176,20.4633,1389351,Capital,59.38287249870222
Germany,Berlin,52.5244,13.4105,3552123,Capital,59.321994864561844
The Gambia,Banjul,13.4531,-16.6794,437161,Capital,59.26225740801202
Russia,Moskva (Moscow),55.755,37.6218,12409738,Capital,59.18547846696476
Slovakia,Bratislava,48.1482,17.1067,429920,Capital,59.12429661583509
Mali,Bamako,12.65,-8.0,2446749,Capital,59.12161175499311
Hungary,Budapest,47.498,19.0399,1759497,Capital,59.0849181162769
Ukraine,Kyiv (Kiev),50.4454,30.5186,2956706,Capital,59.0798180982446
India,Delhi,28.6667,77.2167,28513682,Capital,59.0712098926941
Bulgaria,Sofia,42.6975,23.3242,1272418,Capital,58.98263187711501
Portugal,Lisboa (Lisbon),38.7169,-9.1399,2927316,Capital,58.80837941944421
Angola,Luanda,-8.8368,13.2343,7774200,Capital,58.70343641109894
South Africa,Cape Town,-33.9258,18.4232,4430367,Legislative Capital,58.39915966719927
Algeria,El Djazaïr  (Algiers),36.7525,3.042,2693542,Capital,58.22626562032368
South Sudan,Juba,4.8517,31.5825,368914,Capital,58.036535967257585
Saint Helena Ascension and Tristan da Cuhna,Jamestown,-15.9387,-5.7168,603,Capital,57.965905031360364
Romania,Bucuresti (Bucharest),44.4328,26.1043,1821380,Capital,57.95094682576106
Eritrea,Asmara,15.3333,38.9333,895863,Capital,57.946500130763184
China,Beijing,39.9075,116.3972,19617963,Capital,57.84631136458046
Georgia,Tbilisi,41.6941,44.8337,1077333,Capital,57.83360018243577
Spain,Madrid,40.4165,-3.7026,6497124,Capital,57.725304977453575
Burkina Faso,Ouagadougou,12.3642,-1.5383,2531381,Capital,57.672365581312235
North Macedonia,Skopje,42.0,21.4333,584208,Capital,57.60665261273083
Republic of Moldova,Chişinău,47.0056,28.8575,509707,Capital,57.559257325561475
Kyrgyzstan,Bishkek,42.87,74.59,996319,Capital,57.36687991027162
Palestine,Al-Quds[East Jerusalem],31.7834,35.2339,275086,Capital,56.87913416162075
Morocco,Rabat,34.0133,-6.8326,1846661,Capital,56.776480153388576
Tajikistan,Dushanbe,38.5358,68.7791,872653,Capital,56.73035220392583
Chad,N'Djaména,12.1067,15.0444,1322679,Capital,56.64659922547514
Jordan,Amman,31.9552,35.945,2064582,Capital,56.52118612508569
Greece,Athínai (Athens),37.9534,23.749,3155600,Capital,56.5184757134397
Uzbekistan,Tashkent,41.2647,69.2163,2463969,Capital,55.92964236427932
Turkey,Ankara,39.9199,32.8543,4919074,Capital,55.80156326622529
Tunisia,Tunis,36.819,10.1658,2290777,Capital,55.73443417707942
Afghanistan,Kabul,34.5289,69.1725,4011770,Capital,55.70670410546963
Botswana,Gaborone,-24.6545,25.9086,269338,Capital,55.491476622306415
Kazakhstan,Astana,51.1801,71.446,1068113,Capital,55.33498658984353
Malta,Valletta,35.8997,14.5147,212768,Capital,55.31326659207451
Armenia,Yerevan,40.182,44.5146,1080324,Capital,55.30010177253927
Israel,Jerusalem,31.769,35.2163,907062,Capital,55.11027828868585
Djibouti,Djibouti,11.5877,43.1447,561564,Capital,54.661258339752756
Namibia,Windhoek,-22.5594,17.0832,404280,Capital,53.99964575362646
Mongolia,Ulaanbaatar,47.9077,106.8832,1520381,Capital,53.93318599234335
Azerbaijan,Baku,40.3777,49.892,2285729,Capital,53.68898297548135
Senegal,Dakar,14.6937,-17.4441,2978419,Capital,53.53420662818025
Iran,Tehran,35.6944,51.4215,8895947,Capital,53.53248009030594
Chile,Santiago,-33.4569,-70.6483,6680371,Capital,53.50978089134068
Cyprus,Lefkosia (Nicosia),35.1595,33.3669,269469,Capital,53.338219018357535
Libya,Tarabulus (Tripoli),32.8752,13.1875,1157746,Capital,52.60554821825666
Niger,Niamey,13.5137,2.1098,1213781,Capital,52.07369040405779
Cabo Verde,Praia,14.9215,-23.5087,167504,Capital,51.87736956307673
Turkmenistan,Ashgabat,37.95,58.3833,810186,Capital,51.779508191642094
Syria,Dimashq (Damascus),33.5086,36.3084,2319545,Capital,50.73984026891778
Yemen,Sana'a',15.3531,44.2078,2779317,Capital,49.82675705607778
Iraq,Baghdad,33.3406,44.4009,6811955,Capital,48.26601681016989
Kuwait,Al Kuwayt (Kuwait City),29.3697,47.9783,2989270,Capital,47.24625919377446
Oman,Masqat (Muscat),23.6139,58.5922,1446563,Capital,45.63803743803717
Bahrain,Al-Manamah (Manama),26.2154,50.5832,564631,Capital,44.4132152468092
Qatar,Ad-Dawhah (Doha),25.2747,51.5245,633401,Capital,43.95907035580913
Saudi Arabia,Ar-Riyadh (Riyadh),24.6905,46.7096,6906595,Capital,43.21296639504938
United Arab Emirates,Abu Zaby (Abu Dhabi),24.4648,54.3618,1419699,Capital,42.99305427348212
Peru,Lima,-12.0432,-77.0282,10390607,Capital,41.58932399195975
Mauritania,Nouakchott,18.0858,-15.9785,1205414,Capital,41.25504465064974
Egypt,Al-Qahirah (Cairo),30.0392,31.2394,20076002,Capital,41.20514887223378
Sudan,Al-Khartum (Khartoum),15.5518,32.5324,5534079,Capital,40.8746284125034
Western Sahara,El Aaiún,27.1532,-13.2014,232388,Capital,39.8949819804447
